secondary_name,objectid,address,feat_type,sub_type,vanity_name,name,bldg,parent_name,parent_type,acreage,parent_acreage
,2883,6801 HAVERFORD AVE,Park,,,Cobbs Creek Park & Rec Center,N,Cobbs Creek Park,Park,4.59569472,852.9702327
,2884,6900 LIMEKILN PIKE,Cemetery,,,Philadelphia National Cemetery,N,Philadelphia National Cemetery,Cemetery,13.07624624,13.11927792
,3066,6114 N 20TH ST,House of Worship,,,New Testament Church of God,Y,,,0.20426366,
The Gan Kindergarten,4695,7622 CASTOR AVE,House of Worship,,,Lubavitcher Center,Y,,,0.10034499,
,2886,9550 FRANKFORD AVE,Playground,,,Torresdale Playground,N,Torresdale Playground,Playground,14.04011839,14.09514931
,3052,309-37 S 5TH ST,Shopping Center Ground,,,Shops at 5th,Y,Shops at 5th,Shopping Center Ground,0.50022743,0.81182248
,3053,309 N 3RD ST,School,Day Care,,Book Worms Early Learning Center Child Care School Day Care,Y,,,0.04326073,
,3054,309 S 48TH ST,Shopping Center Ground,,,Shopping Center,Y,Shopping Center,Shopping Center Ground,0.56497481,235.41966052
,3055,309 S 49TH ST,Swimming Pool,,,University City Swim Club,Y,,,0.09104766,
,3056,31-33 N 60TH ST,House of Worship,,,Universal Kingdom of God,Y,,,0.04875963,
,3057,3101-11 SPRING GARDEN ST,School,Preschool,,Caring Center Pre-K,Y,,,0.16533811,
,3058,3101-25 RIDGE AVE,House of Worship,,,First Church of Love Faith,Y,,,0.23770656,
,3059,3101-27 N 22ND ST,Playground,,,Panati Playground,Y,Panati Playground,Playground,0.09064868,1.07556243
,3060,3101 N 17TH ST,House of Worship,,,Trumpet of Zion Tabernacle,Y,,,0.02384587,
,3273,2300-34 S 18TH ST,Cemetery,,,Trinity Lutheran Cemetery,N,Trinity Lutheran Cemetery,Cemetery,2.5314862,3.05943396
,3487,7437 ROWLAND AVE,Swimming Pool,,,Lincoln Pool,N,Lincoln Pool,Swimming Pool,0.33651696,1.02113698
,3061,3300 HENRY AVE,Health Center,,,Falls Center,Y,,,2.76228479,
,3062,3300 HENRY AVE,Health Center,,,PWD Shutoff Crew Headquaters,Y,,,1.3066367,
,3063,3300 N 10TH ST,House of Worship,,,Cosmopolitan Mission Service Baptist Church,Y,,,0.10316429,
,3064,3300 N 3RD ST,School,,,Munoz-Marin Luis School,Y,,,1.34926253,
,3065,3300 TYSON AVE,House of Worship,,,Northeast Community Church,Y,,,0.18861963,
,3266,2206 S CHRIS COLUMBUS BLV,Shopping Center Ground,Parking Lot,,Shopping Center,N,Shopping Center,Shopping Center Ground,33.59029681,235.41966052
,3267,221-31 S 3RD ST,Cemetery,,,Episcopal Community Services Cemetery,N,Episcopal Community Services Cemetery,Cemetery,0.28253395,0.43946715
,3268,2222 E AUBURN ST,Playground,,,Trenton & Auburn Playground,N,,,0.81591722,
,3269,2225-37 W MONTGOMERY AVE,Playground,,,Montgomery & Croskey Playground,N,,,0.20518262,
,3270,229 HORTON ST,Playground,,,Horton Street Play Lot,N,,,0.11601289,
,3271,23 W COULTER ST,Cemetery,,,Germantown Friends Cemetery,N,,,1.42543569,
,3272,230-34 DICKINSON ST,Park,,,Donnelly Park,N,,,0.2330492,
,3274,2300 CASTOR AVE,Shopping Center Ground,Parking Lot,,Aramingo Village,N,Aramingo Village,Shopping Center Ground,4.6677062,7.21422671
,3275,2301-23 PINE ST,Park,,,Fitler Square,N,,,0.72002961,
,3276,2301 N 04TH ST,Park,,,Cassiano Park,N,,,0.19315728,
,3277,6535 CHESTER AVE,House of Worship,,,St Clement's Roman Catholic Church,Y,,,0.10596617,
,3278,6537 E ROOSEVELT BLVD,School,,,Sylvan Learning of Philadelphia,Y,Roosevelt Plaza,Shopping Center Ground,0.1037389,5.59331144
,3480,7326-30 OXFORD AVE,Shopping Center Ground,Parking Lot,,Plaza,N,Plaza,Shopping Center Ground,2.68632509,10.47923837
,3481,7370 CENTRAL AVE,Park,,,Burholme Park,N,Burholme Park,Park,64.27201857,66.19908635
